,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,Wine,Fruit,Meat,Fish,Sweets,Gold,NumDealsPurchases,Web,Catalog,Store,WebVisits,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Spending,Time_With_Company,Children,Has_Child,TotalAcceptedCmp,Family_size
0,64,Graduate,Single,58138.0,0,0,04-09-2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,1617,112.63333333333334,0,No Child,1,1
1,67,Graduate,Single,46344.0,1,1,08-03-2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,27,94.3,2,Has Child,0,3
2,56,Graduate,Partner,71613.0,0,0,21-08-2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,776,100.93333333333334,0,No Child,0,2
3,37,Graduate,Partner,26646.0,1,0,10-02-2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,53,95.16666666666667,1,Has Child,0,3
4,40,Postgraduate,Partner,58293.0,1,0,19-01-2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,422,95.9,1,Has Child,0,3
5,54,Postgraduate,Partner,62513.0,0,1,09-09-2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,716,100.3,1,Has Child,0,3
6,50,Graduate,Single,55635.0,0,1,13-11-2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,590,110.3,1,Has Child,0,2
7,36,Postgraduate,Partner,33454.0,1,0,08-05-2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,169,104.43333333333334,1,Has Child,0,3
8,47,Postgraduate,Partner,30351.0,1,0,06-06-2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,103.46666666666667,1,Has Child,1,3
9,71,Postgraduate,Partner,5648.0,1,1,13-03-2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,49,94.13333333333334,2,Has Child,1,4
10,45,Undergraduate,Partner,7500.0,0,0,13-11-2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,61,110.3,0,No Child,0,2
11,62,Graduate,Single,63033.0,0,0,15-11-2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,1102,98.06666666666666,0,No Child,0,1
12,69,Postgraduate,Single,59354.0,1,1,15-11-2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,310,98.06666666666666,2,Has Child,0,3
13,34,Graduate,Partner,17323.0,0,0,10-10-2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,46,111.43333333333334,0,No Child,0,2
14,75,Postgraduate,Single,82800.0,0,0,24-11-2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,1315,109.93333333333334,0,No Child,3,1
15,41,Graduate,Partner,41850.0,1,1,24-12-2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,96,108.93333333333334,2,Has Child,0,4
16,75,Graduate,Partner,37760.0,0,0,31-08-2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,317,112.76666666666667,0,No Child,0,2
17,72,Postgraduate,Partner,76995.0,0,1,28-03-2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1782,105.8,1,Has Child,1,3
18,36,Undergraduate,Single,33812.0,1,0,03-11-2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,133,110.63333333333334,1,Has Child,0,2
19,39,Graduate,Partner,37040.0,0,0,08-08-2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,316,113.53333333333333,0,No Child,0,2
20,72,Postgraduate,Partner,58607.0,0,1,23-12-2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,972,108.96666666666667,1,Has Child,1,3
21,67,Postgraduate,Partner,65324.0,0,1,11-01-2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,544,96.16666666666667,1,Has Child,0,3
22,70,Graduate,Partner,40689.0,0,1,18-03-2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,444,106.13333333333334,1,Has Child,0,3
23,52,Graduate,Single,18589.0,0,0,02-01-2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,75,108.63333333333334,0,No Child,0,1
24,45,Graduate,Partner,53359.0,1,1,27-05-2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,257,103.8,2,Has Child,0,4
